lat,lon,category,label
30.9306,-85.4979,vegetation,Vegetation (competition/vines)
45.8874,-93.8168,weather,Flooding
45.6253,-114.7532,fire,Fire damage (general)
37.2353,-91.9457,animal,Domestic animal/livestock
41.9372,-92.7385,weather,Wind/hurricane/tornado
38.1267,-87.9162,other,Human-induced
40.8979,-120.8684,animal,Domestic animal/livestock
41.4886,-73.9434,weather,Ice
31.1494,-86.5052,fire,Ground fire
48.4150,-120.9535,disease,Disease damage to trees
37.0158,-87.1932,weather,Ice
36.2864,-77.3124,weather,Wind/hurricane/tornado
37.6997,-95.7078,animal,Domestic animal/livestock
45.4458,-87.7658,insects,Insect damage to trees
43.4574,-91.1440,disease,Disease damage to trees
30.7939,-101.9925,fire,Fire damage (general)
42.6689,-103.0965,animal,Domestic animal/livestock
39.0788,-95.1260,other,Human-induced
44.0843,-110.0090,fire,Fire damage (general)
37.6354,-94.0350,weather,Ice
34.6412,-94.0019,weather,Ice
44.8566,-112.1934,insects,Insect damage to trees
37.9446,-87.5694,other,Human-induced
44.6501,-110.7460,fire,Fire damage (general)
33.6156,-109.4419,fire,Ground fire
34.6374,-77.7379,fire,Ground fire
31.6775,-97.0655,animal,Domestic animal/livestock
43.9686,-73.9545,disease,Disease damage to trees
46.5938,-85.5923,disease,Disease damage
31.1095,-99.2195,weather,Drought
46.7635,-115.3697,disease,Disease damage to trees
46.4014,-93.3859,weather,Weather damage
44.3867,-110.5714,insects,Insect damage
44.5015,-118.4221,animal,Domestic animal/livestock
39.0204,-96.7183,fire,Ground fire
43.0669,-122.1029,disease,Disease damage to trees
39.3864,-81.0437,other,Human-induced
42.5746,-89.9607,animal,Domestic animal/livestock
39.7813,-92.1399,weather,Flooding
40.6576,-100.7525,animal,Domestic animal/livestock
48.6379,-118.3923,insects,Insect damage to trees
38.2508,-118.5475,insects,Insect damage to trees
35.2122,-88.9419,animal,Domestic animal/livestock
40.3312,-84.2551,animal,Deer/ungulate
44.7800,-88.6232,insects,Insect damage to trees
37.8464,-85.3742,weather,Flooding
41.9329,-123.1376,fire,Ground fire
34.5272,-96.5453,fire,Ground fire
33.7978,-89.0398,fire,Ground fire
30.5950,-87.7342,weather,Wind/hurricane/tornado
