lat,lon,status
32.1590,-88.0126,Clean
46.1069,-91.9078,Clean
43.8559,-118.4023,Clean
38.6952,-80.7700,Clean
41.0536,-77.1008,Clean
45.5471,-115.2714,Clean
43.0715,-78.5363,Excluded
32.9153,-94.4780,Excluded
36.3096,-89.3293,Clean
36.7760,-88.5480,Excluded
38.0131,-92.4767,Excluded
36.3995,-81.5576,Clean
48.9105,-119.8538,Clean
42.3508,-123.3792,Clean
43.8758,-71.0180,Clean
45.5449,-92.0785,Clean
27.1566,-99.3757,Clean
42.1225,-76.5643,Excluded
43.5557,-85.8875,Clean
38.8947,-111.6956,Clean
46.2868,-89.9761,Excluded
37.8102,-84.5655,Clean
42.4252,-124.1302,Clean
44.3139,-72.8488,Clean
38.2183,-79.6065,Clean
44.6188,-72.5514,Clean
35.3612,-76.9214,Clean
45.1501,-111.9587,Clean
38.6623,-77.9385,Clean
31.6397,-86.8700,Clean
46.1012,-68.4120,Excluded
44.3145,-119.2595,Clean
31.0116,-82.1067,Excluded
47.2562,-93.2483,Clean
37.4489,-86.3236,Clean
41.2481,-74.5649,Clean
33.7058,-82.8904,Excluded
32.6530,-88.1119,Excluded
33.5976,-92.1384,Clean
34.0204,-94.8219,Clean
33.8450,-81.1928,Clean
45.0596,-115.6035,Clean
34.7688,-94.5948,Clean
35.0688,-81.4940,Excluded
45.3426,-92.6051,Excluded
