source_taxon_key,source_taxon_name,n_source_codes,source_keys,source_systems,community_layers,any_bien_range_available,any_candidate_bien_range_available,total_abundance,total_cwm_missing_weight
taxon:cinnamomum_camphora,Cinnamomum camphora,2,fia_spcd:858;p2veg:CICA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,69119.3888007725,0
taxon:cinnamomum_verum,Cinnamomum verum,2,fia_spcd:6564;p2veg:CIVE2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,227.245277518721,0
taxon:citharexylum_caudatum,Citharexylum caudatum,2,fia_spcd:6565;p2veg:CICA8,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,18784.2090163321,0
taxon:citrus_maxima,Citrus maxima,2,fia_spcd:6581;p2veg:CIMA5,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,27.103381964266,0
taxon:clusia_rosea,Clusia rosea,2,fia_spcd:6651;p2veg:CLRO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,44076.8610736269,0
taxon:cocos_nucifera,Cocos nucifera,2,fia_spcd:908;p2veg:CONU,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;tree,TRUE,FALSE,768.068281877325,0
taxon:coffea_arabica,Coffea arabica,2,fia_spcd:6684;p2veg:COAR2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,8980.82556131478,0
taxon:commersonia_bartramia,Commersonia bartramia,2,fia_spcd:6703;p2veg:COBA17,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling,FALSE,FALSE,184.930564,0
taxon:coprosma_foliosa,Coprosma foliosa,2,fia_spcd:6716;p2veg:COFO2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling,FALSE,FALSE,274.895847,224.895847
taxon:coprosma_montana,Coprosma montana,2,fia_spcd:6719;p2veg:COMO3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling,FALSE,FALSE,2145.027903,1574.270929
taxon:coprosma_ochracea,Coprosma ochracea,2,fia_spcd:6720;p2veg:COOC3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,1369.83954274083,974.54867
taxon:coprosma_pubens,Coprosma pubens,2,fia_spcd:6721;p2veg:COPU8,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,2799.19193279131,2548.819597
taxon:coprosma_rhynchocarpa,Coprosma rhynchocarpa,2,fia_spcd:6722;p2veg:CORH,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,1499.62177084641,224.895846
taxon:cordyline_fruticosa,Cordyline fruticosa,2,fia_spcd:6744;p2veg:COFR2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,9977.13987154059,0
taxon:cornus_nuttallii,Cornus nuttallii,2,fia_spcd:492;p2veg:CONU4,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,220673.854290941,0
taxon:crataegus_chrysocarpa,Crataegus chrysocarpa,2,fia_spcd:505;p2veg:CRCH,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub,TRUE,FALSE,5146.02107,0
taxon:crataegus_succulenta,Crataegus succulenta,2,fia_spcd:5092;p2veg:CRSU5,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub,TRUE,FALSE,243.930564,0
taxon:cryptomeria_japonica,Cryptomeria japonica,2,fia_spcd:6786;p2veg:CRJA3,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,TRUE,FALSE,81.1125693848491,0
taxon:cyathea_cooperi,Cyathea cooperi,2,fia_spcd:6837;p2veg:CYCO18,fia_spcd;nrcs_plants_symbol,forb;p2veg_tree_layer;sapling;seedling;tree,FALSE,TRUE,258.038395540592,149.930565
taxon:diospyros_sandwicensis,Diospyros sandwicensis,2,fia_spcd:6911;p2veg:DISA10,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,892.781692417009,224.895846
taxon:elaeagnus_angustifolia,Elaeagnus angustifolia,2,fia_spcd:997;p2veg:ELAN,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,177254.704665412,0
taxon:erythrina_sandwicensis,Erythrina sandwicensis,2,fia_spcd:7012;p2veg:ERSA11,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,142.166302650549,0
taxon:eucalyptus_deglupta,Eucalyptus deglupta,2,fia_spcd:7034;p2veg:EUDE2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;tree,TRUE,FALSE,379.877101351041,0
taxon:eucalyptus_globulus,Eucalyptus globulus,2,fia_spcd:511;p2veg:EUGL,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,452.392672183402,0
taxon:eucalyptus_grandis,Eucalyptus grandis,2,fia_spcd:513;p2veg:EUGR12,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,FALSE,FALSE,10020.2648209711,3298.472425
taxon:eucalyptus_pilularis,Eucalyptus pilularis,2,fia_spcd:7047;p2veg:EUPI,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,37.2303293435068,0
taxon:eucalyptus_robusta,Eucalyptus robusta,2,fia_spcd:514;p2veg:EURO2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,5250.33196383185,0
taxon:eucalyptus_saligna,Eucalyptus saligna,2,fia_spcd:7053;p2veg:EUSA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;tree,FALSE,FALSE,78.3641607637346,0
taxon:falcataria_moluccana,Falcataria moluccana,2,fia_spcd:7144;p2veg:FAMO,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,3493.21515501673,0
taxon:ficus_carica,Ficus carica,2,fia_spcd:7151;p2veg:FICA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;shrub;tree,TRUE,FALSE,556.081806578508,0
taxon:ficus_microcarpa,Ficus microcarpa,2,fia_spcd:7160;p2veg:FIMI2,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;tree,TRUE,FALSE,1243.84865181745,0
taxon:flindersia_brayleyana,Flindersia brayleyana,2,fia_spcd:7188;p2veg:FLBR,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;seedling;tree,FALSE,FALSE,115.01773677981,74.965282
taxon:fraxinus_latifolia,Fraxinus latifolia,2,fia_spcd:542;p2veg:FRLA,fia_spcd;nrcs_plants_symbol,p2veg_tree_layer;sapling;seedling;shrub;tree,TRUE,FALSE,69806.614181891,0
