species_key,source_species_code,scientific_name,common_name,gap_stage,gap_reason,cwm_missing_n_condition_rows,cwm_missing_weight_total,range_lookup_status,range_match_status,range_review_reason
fia_spcd:6911,6911,Diospyros sandwicensis,lama,no_bien_range_map,BIEN did not report a range map for the query binomial,3,224.895846,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8392,8392,Psychotria mariniana,forest wild coffee,no_bien_range_map,BIEN did not report a range map for the query binomial,3,224.895846,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6244,6244,Bobea sandwicensis,Hawaii dogweed,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6504,6504,Charpentiera tomentosa,Waianae Range papala,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6837,6837,Cyathea cooperi,Cooper's cyathea,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6958,6958,Dubautia spp.,dubautia,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,149.930565,,,
fia_spcd:7749,7749,Melicope radiata,kapu melicope,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8388,8388,Psychotria kaduana,kopiko kea,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:857,857,Casuarina lepidophloia,belah,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:8738,8738,Taxus baccata,English yew,no_bien_range_map,BIEN did not report a range map for the query binomial,1,149.930565,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:683,683,Morus microphylla,Texas mulberry,no_bien_range_map,BIEN did not report a range map for the query binomial,2,149.930564,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:7978,7978,Ochna thomasiana,Thomas birds-eye bush,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",1,149.930564,available,available,
fia_spcd:8831,8831,Trema orientalis,oriental trema,no_bien_range_map,BIEN did not report a range map for the query binomial,2,149.930564,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:909,909,Roystonea spp.,royal palm spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",2,149.930564,,,
fia_spcd:220,220,Taxodium spp.,baldcypress spp.,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:378,378,Betula x utahensis,northwestern paper birch,not_targeted_for_niche,"Species record is a pseudo taxon, lacks a scientific name, or was otherwise marked as not requiring a niche.",1,74.965282,,,
fia_spcd:5800,5800,Cupressocyparis leylandii,Leyland cypress,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6111,6111,Anadenanthera peregrina,Anadenanthera peregrina,outside_or_empty_after_study_area_clip,"A global BIEN range/niche exists, but clipping to the configured all-U.S. study-area bounding box left no usable TerraClimate rows.",1,74.965282,available,available,
fia_spcd:6143,6143,Antidesma pulvinatum,hame,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
fia_spcd:6286,6286,Buddleja asiatica,dogtail,no_bien_range_map,BIEN did not report a range map for the query binomial,1,74.965282,no_range,missing_range,BIEN did not report a range map for the query binomial
